video_id,title,description,channel_id,channel_title,published_at,thumbnail_url,view_count,like_count,comment_count,duration,collected_at,transcript
_P14KSgLxJ8,Mai kaise jiu bhole baba 💔🙏😱 #trending #shorts #video #viral @ritikashorts70,Mai kaise jiu bhole baba 💔🙏😱 #trending #shorts #video #viral ​⁠,UCQeMU1o-aCY_62TWfgRA78g,ritika shorts70,2026-01-23T03:59:52Z,https://i.ytimg.com/vi/_P14KSgLxJ8/hqdefault.jpg,2550,27,0,PT32S,2026-01-23T12:10:34.740898,
rcUscA6I3cQ,भगवान शिव जी के साथ माता पार्वती जी का वायरल वीडियो #trending #vfx#deshbhagti #shortvideo,,UCPnnxLVexqzFHFbBFVaG11g,Arvind Gupta Vfx,2026-01-22T11:46:15Z,https://i.ytimg.com/vi/rcUscA6I3cQ/hqdefault.jpg,19669,150,1,PT27S,2026-01-23T12:10:34.740913,
ApshO2uiJQ0,Mahadev 🙏 #shorts #youtubeshorts #shortsfeed #viral #video #trending,"Mahadev 🙏 
#shorts #youtubeshorts #shortsfeed #viral #video #trending",UCwGUSzSBcuXWtuQjooe357g,Chukku Ki Masti,2026-01-23T05:15:06Z,https://i.ytimg.com/vi/ApshO2uiJQ0/hqdefault.jpg,10763,94,1,PT26S,2026-01-23T12:10:34.740919,
#NAME?,#video | Shiva tandem stotram 🕉️🙏 #shortvideo #mahadeva #trending #youtubeshorts,,UCp7lLaJbx1trYHuNwMSIY0g,Rani sahani ,2026-01-21T01:28:42Z,https://i.ytimg.com/vi/-osRmlq6xTA/hqdefault.jpg,14240,135,1,PT38S,2026-01-23T12:10:34.740925,
LnoImO99bgQ,Mahadev 🙏❤️ #shorts #youtubeshorts #shortsfeed #viral #video #trending,"Mahadev 🙏❤️ 
#shorts #youtubeshorts #shortsfeed #viral #video #trending",UCwGUSzSBcuXWtuQjooe357g,Chukku Ki Masti,2026-01-22T13:44:08Z,https://i.ytimg.com/vi/LnoImO99bgQ/hqdefault.jpg,14698,67,0,PT14S,2026-01-23T12:10:34.740929,
SC-0EbSPpKw,दो क्रेन के बाद  तीसरा मशीन ताकी विराट शिवलिंग को खड़ा किया जा सके,"दो क्रेन के बाद  तीसरा मशीन ताकी विराट शिवलिंग को खड़ा किया जा सकेदो क्रेन के बाद  तीसरा मशीन ताकी विराट शिवलिंग को खड़ा किया जा सके
#trending #videos #shorts #viratramayanmandir #shivling #shivlingstory #shivlingpartripundkaiselgaye",UCCj8tC9tvqfjR2pv5OHeF7A,mscc news,2026-01-17T00:40:29Z,https://i.ytimg.com/vi/SC-0EbSPpKw/hqdefault.jpg,121580,1825,20,PT37S,2026-01-23T12:10:34.740933,
v8evFWjebV0,Jaise Shiv Gaura Ka Pyar (Official Video) Hansraj Raghuwanshi Komal Saklani | Bhole Mera Yaar Milade,"Jaise Shiv Gaura Ka Pyar (Official Video) Hansraj Raghuwanshi Komal Saklani | Bhole Mera Yaar Milade
#jaiseshivgaurakapyar #hansrajraghuwanshi #komalsaklani #shivbhajan 
__________
► Produced By Bholenath Ji
__________
🎼 Music Credits
➟  Singer: Hansraj Raghuwanshi  
➟ https://www.instagram.com/baba_hans_raghuwanshi/
➟ Project By :- Komal Saklani
➟ Composer & Music Producer- Bharat Kamal
➟ Lyrics :- Ravi Chopra
➟ Flute :- Pt. Ajay Prasanna
➟ Strokes :- Tapas Roy
➟ Guitars :- Shomu Seal
➟ Bass :- Raoul Niamut
➟ Percussions :- Aadesh More & Team
➟ Mixing & Mastering :- Pankaj Bohra @ Neo Sound
➟ Audio Editor :- Vegan Vipin
➟ Vocals recorded @ LA Studio (Chandigarh)
➟ All live instruments recorded @ Studio 504 by Rahul Sharma (Mumbai)
__________
🎬 Featuring: 
➟ Featuring :- Komal Saklani 
➟ Supporting Artists :- Kuku Diwan , Prithi Singh, Chetan Singh, Shanti Sen, Barsha Pal & Ravinder Singh 
__________
🎥 Video Production
➟ A Film By 2 Directors
 ￼ / 2directorsfilm  
➟ Directors :- Neeraj K Rathi & Sohi Saini
➟ Dop :- Rawhit , Prab Ramgarhia
➟ Edit / Di :- Sohi Saini
➟ VFX :- Dr Vfx 
➟ Makeup :- Gavy , Anjana 
➟ Art :- Sahib  
➟ Line Producer :- Ramesh Rajnu & Mohit 
➟ Location Manager :- Rishi  
➟ Spot Boys :- Aniket , Gaurav &Tanveer 
➟ Light Equipment :- North India Lights
__________
➟ Poster :- Vk Editz
➟ Special Thanks :- Balak Maheshwar Devta Committee  , Pankaj Paul
➟ Label : Hansraj Raghuwanshi
➟ Digital Partner : Tellytune Entertainment Pvt Ltd
___________
✌Create Reel Here : https://www.instagram.com/reels/audio/846887761667419?igsh=MWs2Z3E5eXBjd3Zmcw==
____________
♫ Also Available on other Audio Platforms ♫ 
👉♪ Spotify : https://open.spotify.com/track/3890YQg8F2oVnfvbOSoMgN
👉♪ Jio Saavn : https://www.jiosaavn.com/song/jaise-shiv-gaura-ka-pyar/PTJdSQ1ZBVw
👉♪ Gaana : https://gaana.com/song/shiv-gaura-ka-pyar
👉♪ Apple Music : https://music.apple.com/us/song/jaise-shiv-gaura-ka-pyar/1861559012
👉♪ Prime Music : https://music.amazon.in/albums/B0G76P1XTR
____________
📩 Business Enquiries
📧 Email: raghuwanshihansraj777@gmail.com
📞 Contact: +91 88943 90420 | +91 88949 00344
____________
📌 Stay Connected with the Divine Vibes
📺 Subscribe: https://shorturl.at/Bo1x7
📘 Facebook: https://shorturl.at/NRyd7  
📷 Instagram: https://shorturl.at/xZF4h",UCigV1clokmoz4LZrGL9fRNw,Hansraj Raghuwanshi,2026-01-01T12:30:06Z,https://i.ytimg.com/vi/v8evFWjebV0/hqdefault.jpg,1927063,57483,3427,PT7M5S,2026-01-23T12:10:34.740938,
co74G7BCUDo,Mahadev 😱🙏 #shorts #youtubeshorts #shortsfeed #viral #video #trending,"Mahadev 😱🙏 
#shorts #youtubeshorts #shortsfeed #viral #video #trending",UCwGUSzSBcuXWtuQjooe357g,Chukku Ki Masti,2026-01-22T04:30:37Z,https://i.ytimg.com/vi/co74G7BCUDo/hqdefault.jpg,24388,139,0,PT21S,2026-01-23T12:10:34.740942,
x91ACbYQkcs,आज तो शंकर भगवान के दर्शन हो गऐ 🔱🚩 har har mahadev #harharmahadev #shorts #trending #video,आज तो शंकर भगवान के दर्शन हो गऐ 🔱🚩 har har mahadev #harharmahadev #shorts #trending #video,UC8cn696QZ_fc94Wnf464iGQ,Kana Ka Magic ,2026-01-21T01:31:04Z,https://i.ytimg.com/vi/x91ACbYQkcs/hqdefault.jpg,24196,0,0,PT28S,2026-01-23T12:10:34.740946,
7_obu9B9aNE,Mahadev 😱🙏 #shorts #youtubeshorts #shortsfeed #viral #video #trending,"Mahadev 😱🙏 
#shorts #youtubeshorts #shortsfeed #viral #video #trending",UCwGUSzSBcuXWtuQjooe357g,Chukku Ki Masti,2026-01-22T04:06:06Z,https://i.ytimg.com/vi/7_obu9B9aNE/hqdefault.jpg,22439,112,0,PT22S,2026-01-23T12:10:34.740950,
